name	date	definitionName	definitionId	definitionDockerRepository	definitionDockerImageTag	definitionDocumentationUrl	definitionIcon	definitionSourceType	definitionReleaseStage	scrapeDescription	scrapeUrl
destination-jdbc	2020-12-04	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Java SE Technologies - Database - Oracle	https://www.oracle.com/java/technologies/javase/javase-tech-database.html
destination-kafka	2021-07-22	Kafka	undefined	airbyte/destination-kafka	0.1.10	https://docs.airbyte.com/integrations/destinations/kafka	kafka.svg	undefined	alpha	Apache Kafka	https://kafka.apache.org/
destination-keen	2021-08-18	Chargify (Keen)	undefined	airbyte/destination-keen	0.2.4	https://docs.airbyte.com/integrations/destinations/keen	chargify.svg	undefined	alpha	Chargify Integration - Keen IO	https://keen.io/docs/integrations/chargify/
destination-kinesis	2021-11-22	Kinesis	undefined	airbyte/destination-kinesis	0.1.5	https://docs.airbyte.com/integrations/destinations/kinesis	kinesis.svg	undefined	alpha	Amazon Kinesis - Process & Analyze Streaming Data - AWS	https://aws.amazon.com/kinesis/
destination-kvdb	2021-07-19	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	KVdb - Key-Value Store as a Service API for Serverless Apps	https://kvdb.io/
destination-local-json	2020-12-22	Local JSON	undefined	airbyte/destination-local-json	0.2.11	https://docs.airbyte.com/integrations/destinations/local-json	file.svg	undefined	alpha	Displaying Content On The Webpage Using A Local JSON ...	https://dev.to/sasigit7/displaying-content-on-the-webpage-using-a-local-json-file-2mpb
destination-mariadb-columnstore	2021-11-24	MariaDB ColumnStore	undefined	airbyte/destination-mariadb-columnstore	0.1.7	https://docs.airbyte.com/integrations/destinations/mariadb-columnstore	mariadb.svg	undefined	alpha	MariaDB ColumnStore - MariaDB Knowledge Base	https://mariadb.com/kb/en/mariadb-columnstore/
destination-meilisearch	2021-02-09	MeiliSearch	undefined	airbyte/destination-meilisearch	1.0.0	https://docs.airbyte.com/integrations/destinations/meilisearch	meilisearch.svg	undefined	alpha	Meilisearch is a flexible and powerful user-focused search engine that can be added to any website or application.	https://www.meilisearch.com/
destination-mongodb	2021-09-07	MongoDB	undefined	airbyte/destination-mongodb	0.1.8	https://docs.airbyte.com/integrations/destinations/mongodb	mongodb.svg	undefined	alpha	MongoDB: The Developer Data Platform | MongoDB	https://www.mongodb.com/
destination-mongodb-strict-encrypt	2021-10-20	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	MongoDB: The Developer Data Platform | MongoDB	https://www.mongodb.com/
destination-mqtt	2021-11-21	MQTT	undefined	airbyte/destination-mqtt	0.1.3	https://docs.airbyte.com/integrations/destinations/mqtt	mqtt.svg	undefined	alpha	Publishing MQTT Data to to a Web Page - Steve's internet Guide	http://www.steves-internet-guide.com/publishing-mqtt-data-web-page/
destination-mssql	2021-05-17	MS SQL Server	undefined	airbyte/destination-mssql	0.1.22	https://docs.airbyte.com/integrations/destinations/mssql	mssql.svg	undefined	alpha	Introducing SQL Server 2022. Now in public preview. - Microsoft	https://www.microsoft.com/en-us/sql-server
destination-mssql-strict-encrypt	2021-10-12	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Introducing SQL Server 2022. Now in public preview. - Microsoft	https://www.microsoft.com/en-us/sql-server
destination-mysql	2021-05-07	MySQL	undefined	airbyte/destination-mysql	0.1.20	https://docs.airbyte.com/integrations/destinations/mysql	mysql.svg	undefined	alpha	MySQL	https://www.mysql.com/
destination-mysql-strict-encrypt	2021-10-14	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	MySQL	https://www.mysql.com/
destination-oracle	2021-06-03	Oracle	undefined	airbyte/destination-oracle	0.1.19	https://docs.airbyte.com/integrations/destinations/oracle	oracle.svg	undefined	alpha	Big Data - Oracle	https://www.oracle.com/big-data/
destination-oracle-strict-encrypt	2021-11-02	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Big Data - Oracle	https://www.oracle.com/big-data/
destination-postgres	2020-10-21	Postgres	undefined	airbyte/destination-postgres	0.3.26	https://docs.airbyte.com/integrations/destinations/postgres	postgresql.svg	undefined	alpha	PostgreSQL: The world's most advanced open source database	https://www.postgresql.org/
destination-postgres-strict-encrypt	2021-09-30	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	PostgreSQL: The world's most advanced open source database	https://www.postgresql.org/
destination-pubsub	2021-06-25	Google PubSub	undefined	airbyte/destination-pubsub	0.1.6	https://docs.airbyte.com/integrations/destinations/pubsub	googlepubsub.svg	undefined	alpha	Pub/Sub for Application & Data Integration | Google Cloud	https://cloud.google.com/pubsub
destination-pulsar	2021-11-06	Pulsar	undefined	airbyte/destination-pulsar	0.1.3	https://docs.airbyte.com/integrations/destinations/pulsar	pulsar.svg	undefined	alpha	Apache Pulsar is a cloud-native, multi-tenant, high-performance solution for server-to-server messaging and queuing built on the publisher-subscribe pattern.	https://pulsar.apache.org/
destination-r2	2022-09-26	Cloudflare R2	undefined	airbyte/destination-r2	0.1.0	https://docs.airbyte.com/integrations/destinations/r2	cloudflare-r2.svg	undefined	alpha	Cloudflare R2 | Zero Egress Distributed Object Storage	https://www.cloudflare.com/products/r2/
destination-rabbitmq	2021-12-14	RabbitMQ	undefined	airbyte/destination-rabbitmq	0.1.1	https://docs.airbyte.com/integrations/destinations/rabbitmq	pulsar.svg	undefined	alpha	Messaging that just works — RabbitMQ	https://www.rabbitmq.com/
destination-redis	2021-11-20	Redis	undefined	airbyte/destination-redis	0.1.4	https://docs.airbyte.com/integrations/destinations/redis	redis.svg	undefined	alpha	Redis	https://redis.io/
destination-redshift	2020-12-04	Redshift	undefined	airbyte/destination-redshift	0.3.51	https://docs.airbyte.com/integrations/destinations/redshift	redshift.svg	undefined	beta	Amazon Redshift - Cloud Data Warehouse - AWS	https://aws.amazon.com/redshift/
destination-rockset	2021-12-15	Rockset	undefined	airbyte/destination-rockset	0.1.4	https://docs.airbyte.com/integrations/destinations/rockset	undefined	undefined	alpha	Rockset: Real-Time Analytics at Cloud Scale	https://rockset.com/
destination-s3	2021-06-03	S3	undefined	airbyte/destination-s3	0.3.17	https://docs.airbyte.com/integrations/destinations/s3	s3.svg	undefined	generally_available	Hosting a static website using Amazon S3	https://docs.aws.amazon.com/AmazonS3/latest/userguide/WebsiteHosting.html
destination-scaffold-destination-python	2021-07-19	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Scaffold a Flask Project - Real Python	https://realpython.com/scaffold-a-flask-project/
destination-scylla	2021-11-17	Scylla	undefined	airbyte/destination-scylla	0.1.3	https://docs.airbyte.com/integrations/destinations/scylla	scylla.svg	undefined	alpha	ScyllaDB | Monstrously Fast + Scalable NoSQL	https://www.scylladb.com/
destination-sftp-json	2021-11-24	SFTP-JSON	undefined	airbyte/destination-sftp-json	0.1.0	https://docs.airbyte.com/integrations/destinations/sftp-json	sftp.svg	undefined	alpha	SFTP JSON | Airbyte Documentation	https://docs.airbyte.com/integrations/destinations/sftp-json/
destination-snowflake	2020-11-02	Snowflake	undefined	airbyte/destination-snowflake	0.4.38	https://docs.airbyte.com/integrations/destinations/snowflake	snowflake.svg	undefined	generally_available	Execute your most critical workloads on top of Snowflake's multi-cluster shared data architecture in a fully managed platform that capitalizes on the ...	https://www.snowflake.com/en/
destination-sqlite	2022-08-09	Local SQLite	undefined	airbyte/destination-sqlite	0.1.0	https://docs.airbyte.com/integrations/destinations/local-sqlite	sqlite.svg	undefined	alpha	SQLite Home Page	https://www.sqlite.org/
destination-tidb	2022-09-01	TiDB	undefined	airbyte/destination-tidb	0.1.0	https://docs.airbyte.com/integrations/destinations/tidb	tidb.svg	undefined	alpha	PingCAP, the company building TiDB | SQL at Scale	https://www.pingcap.com/
destination-typesense	2022-10-28	Typesense	undefined	airbyte/destination-typesense	0.1.0	https://docs.airbyte.com/integrations/destinations/typesense	undefined	undefined	alpha	Typesense | Fast, typo-tolerant open source search engine	https://typesense.org/
destination-yugabytedb	2022-10-28	YugabyteDB	undefined	airbyte/destination-yugabytedb	0.1.0	https://docs.airbyte.com/integrations/destinations/yugabytedb	yugabytedb.svg	undefined	alpha	Yugabyte: The Distributed SQL Database for Cloud Native ...	https://www.yugabyte.com/
source-activecampaign	2022-10-28	ActiveCampaign	9f32dab3-77cb-45a1-9d33-347aa5fbe363	airbyte/source-activecampaign	0.1.0	https://docs.airbyte.com/integrations/sources/activecampaign	undefined	api	alpha	ActiveCampaign lets us send email campaigns, automate features, and manage contacts by staff group.	https://www.activecampaign.com/
source-adjust	2022-09-27	Adjust	d3b7fa46-111b-419a-998a-d7f046f6d66d	airbyte/source-adjust	0.1.0	https://docs.airbyte.com/integrations/sources/adjust	undefined	api	alpha	Adjust: The mobile measurement company	https://www.adjust.com/
source-airtable	2021-11-20	Airtable	14c6e7ea-97ed-4f5e-a7b5-25e9a80b8212	airbyte/source-airtable	0.1.3	https://docs.airbyte.com/integrations/sources/airtable	airtable.svg	api	alpha	Airtable | Create apps that perfectly fit your team's needs	https://www.airtable.com/
source-alloydb	2022-09-07	AlloyDB for PostgreSQL	1fa90628-2b9e-11ed-a261-0242ac120002	airbyte/source-alloydb	1.0.17	https://docs.airbyte.com/integrations/sources/alloydb	alloydb.svg	database	generally_available	About AlloyDB | AlloyDB for PostgreSQL - Google Cloud	https://cloud.google.com/alloydb
source-alloydb-strict-encrypt	2022-09-20	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	AlloyDB for PostgreSQL | Google Cloud	https://cloud.google.com/alloydb
source-amazon-ads	2021-08-26	Amazon Ads	c6b0a29e-1da9-4512-9002-7bfd0cba2246	airbyte/source-amazon-ads	0.1.24	https://docs.airbyte.com/integrations/sources/amazon-ads	amazonads.svg	api	generally_available	Amazon Ads: Online advertising for businesses of all sizes	https://advertising.amazon.com/
source-amazon-seller-partner	2021-06-01	Amazon Seller Partner	e55879a8-0ef8-4557-abcf-ab34c53ec460	airbyte/source-amazon-seller-partner	0.2.27	https://docs.airbyte.com/integrations/sources/amazon-seller-partner	amazonsellerpartner.svg	api	alpha	Selling Partner API on AWS - Quick Start - Amazon.com	https://aws.amazon.com/quickstart/architecture/amazon-selling-partner-api/
source-amazon-sqs	2021-10-27	Amazon SQS	983fd355-6bf3-4709-91b5-37afa391eeb6	airbyte/source-amazon-sqs	0.1.0	https://docs.airbyte.com/integrations/sources/amazon-sqs	undefined	api	alpha	Amazon SQS - AWS	https://aws.amazon.com/sqs/
source-amplitude	2021-06-08	Amplitude	fa9f58c6-2d03-4237-aaa4-07d75e0c1396	airbyte/source-amplitude	0.1.17	https://docs.airbyte.com/integrations/sources/amplitude	amplitude.svg	api	generally_available	Amplitude: Home	https://amplitude.com/
source-apify-dataset	2021-08-03	Apify Dataset	47f17145-fe20-4ef5-a548-e29b048adf84	airbyte/source-apify-dataset	0.1.11	https://docs.airbyte.com/integrations/sources/apify-dataset	apify.svg	api	alpha	Dataset - Apify Documentation	https://docs.apify.com/storage/dataset
source-appfollow	2022-08-17	Appfollow	b4375641-e270-41d3-9c20-4f9cecad87a8	airbyte/source-appfollow	0.1.1	https://docs.airbyte.com/integrations/sources/appfollow	appfollow.svg	api	alpha	AppFollow: App Review Management & ASO Platform	https://appfollow.io/
source-appsflyer	2021-10-19	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	AppsFlyer | Make good choices	https://www.appsflyer.com/
source-appstore-singer	2021-01-14	Appstore	2af123bf-0aaf-4e0d-9784-cb497f23741a	airbyte/source-appstore-singer	0.2.6	https://docs.airbyte.com/integrations/sources/appstore	appstore.svg	api	alpha	App Analytics - App Store Connect - Apple Developer	https://developer.apple.com/app-store-connect/analytics/
source-asana	2021-05-26	Asana	d0243522-dccf-4978-8ba0-37ed47a0bdbf	airbyte/source-asana	0.1.4	https://docs.airbyte.com/integrations/sources/asana	asana.svg	api	beta	Manage your team's work, projects, & tasks online • Asana	https://asana.com/
source-ashby	2022-10-28	Ashby	4e8c9fa0-3634-499b-b948-11581b5c3efa	airbyte/source-ashby	0.1.0	https://docs.airbyte.com/integrations/sources/ashby	undefined	api	alpha	Ashby: All-in-one Recruiting Software for Ambitious Teams	https://www.ashbyhq.com/
source-auth0	2022-10-26	Auth0	6c504e48-14aa-4221-9a72-19cf5ff1ae78	airbyte/source-auth0	0.1.0	https://docs.airbyte.com/integrations/sources/auth0	undefined	api	alpha	User Data Storage - Auth0	https://auth0.com/docs/secure/security-guidance/data-security/user-data-storage
source-aws-cloudtrail	2021-06-25	AWS CloudTrail	6ff047c0-f5d5-4ce5-8c81-204a830fa7e1	airbyte/source-aws-cloudtrail	0.1.4	https://docs.airbyte.com/integrations/sources/aws-cloudtrail	awscloudtrail.svg	api	alpha	Logging data events for trails - AWS CloudTrail	https://docs.aws.amazon.com/awscloudtrail/latest/userguide/logging-data-events-with-cloudtrail.html
source-azure-table	2021-11-15	Azure Table Storage	798ae795-5189-42b6-b64e-3cb91db93338	airbyte/source-azure-table	0.1.3	https://docs.airbyte.com/integrations/sources/azure-table	azureblobstorage.svg	database	alpha	Table storage | Microsoft Azure	https://azure.microsoft.com/en-us/products/storage/tables/
source-bamboo-hr	2021-08-27	BambooHR	90916976-a132-4ce9-8bce-82a03dd58788	airbyte/source-bamboo-hr	0.2.2	https://docs.airbyte.com/integrations/sources/bamboo-hr	bamboohr.svg	api	alpha	BambooHR: HR Software with Heart. Focus on people, not ...	https://www.bamboohr.com/
source-bigcommerce	2021-08-29	BigCommerce	59c5501b-9f95-411e-9269-7143c939adbd	airbyte/source-bigcommerce	0.1.7	https://docs.airbyte.com/integrations/sources/bigcommerce	bigcommerce.svg	api	alpha	BigCommerce: Ecommerce for a New Era	https://www.bigcommerce.com/
source-bigquery	2021-07-22	BigQuery	bfd1ddf8-ae8a-4620-b1d7-55597d2ba08c	airbyte/source-bigquery	0.2.2	https://docs.airbyte.com/integrations/sources/bigquery	bigquery.svg	database	alpha	Enterprise Data Warehouse | BigQuery - Google Cloud	https://cloud.google.com/bigquery
source-bing-ads	2021-08-14	Bing Ads	47f25999-dd5e-4636-8c39-e7cea2453331	airbyte/source-bing-ads	0.1.16	https://docs.airbyte.com/integrations/sources/bing-ads	bingads.svg	api	generally_available	Microsoft Ads	https://ads.microsoft.com/
source-braintree	2021-08-19	Braintree	63cea06f-1c75-458d-88fe-ad48c7cb27fd	airbyte/source-braintree	0.1.3	https://docs.airbyte.com/integrations/sources/braintree	braintree.svg	api	alpha	Braintree | Online Payment Solutions and Global Payment ...	https://www.braintreepayments.com/
source-cart	2021-07-23	Cart.com	bb1a6d31-6879-4819-a2bd-3eed299ea8e2	airbyte/source-cart	0.2.0	https://docs.airbyte.com/integrations/sources/cart	cart.svg	api	alpha	Cart.com: The Ecommerce Platform for Growing Brands	https://www.cart.com/
source-chargebee	2021-07-01	Chargebee	686473f1-76d9-4994-9cc7-9b13da46147c	airbyte/source-chargebee	0.1.15	https://docs.airbyte.com/integrations/sources/chargebee	chargebee.svg	api	generally_available	Chargebee Data Centers - Docs	https://www.chargebee.com/docs/2.0/data-centers.html
source-chargify	2022-03-17	Chargify	9b2d3607-7222-4709-9fa2-c2abdebbdd88	airbyte/source-chargify	0.1.0	https://docs.airbyte.com/integrations/sources/chargify	chargify.svg	api	alpha	Chargify: Subscription Billing for B2B SaaS	https://www.chargify.com/
source-chartmogul	2022-01-19	Chartmogul	b6604cbd-1b12-4c08-8767-e140d0fb0877	airbyte/source-chartmogul	0.1.1	https://docs.airbyte.com/integrations/sources/chartmogul	chartmogul.svg	api	alpha	ChartMogul | Subscription Analytics Platform	https://chartmogul.com/
source-clickhouse	2021-05-12	ClickHouse	bad83517-5e54-4a3d-9b53-63e85fbd4d7c	airbyte/source-clickhouse	0.1.14	https://docs.airbyte.com/integrations/sources/clickhouse	undefined	database	alpha	ClickHouse: Fast Open-Source OLAP DBMS	https://clickhouse.com/
source-clickhouse-strict-encrypt	2021-10-25	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	ClickHouse: Fast Open-Source OLAP DBMS	https://clickhouse.com/
source-clockify	2022-10-26	Clockify	e71aae8a-5143-11ed-bdc3-0242ac120002	airbyte/source-clockify	0.1.0	https://docs.airbyte.com/integrations/sources/clockify	clockify.svg	api	alpha	Clockify™ - 100% FREE Time Tracking Software	https://clockify.me/
source-close-com	2021-09-14	Close.com	dfffecb7-9a13-43e9-acdc-b92af7997ca9	airbyte/source-close-com	0.1.0	https://docs.airbyte.com/integrations/sources/close-com	close.svg	api	alpha	Close CRM | The All-In-One CRM for Growing Teams	https://www.close.com/
source-cockroachdb	2021-07-02	Cockroachdb	9fa5862c-da7c-11eb-8d19-0242ac130003	airbyte/source-cockroachdb	0.1.18	https://docs.airbyte.com/integrations/sources/cockroachdb	cockroachdb.svg	database	alpha	Cockroach Labs, the company building CockroachDB	https://www.cockroachlabs.com/
source-cockroachdb-strict-encrypt	2021-11-24	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Cockroach Labs, the company building CockroachDB	https://www.cockroachlabs.com/
source-coin-api	2022-10-28	Coin API	919984ef-53a2-479b-8ffe-9c1ddb9fc3f3	airbyte/source-coin-api	0.1.0	https://docs.airbyte.com/integrations/sources/coin-api	undefined	api	alpha	CoinAPI - Cryptocurrency Data API	https://www.coinapi.io/
source-commercetools	2021-11-09	Commercetools	008b2e26-11a3-11ec-82a8-0242ac130003	airbyte/source-commercetools	0.1.0	https://docs.airbyte.com/integrations/sources/commercetools	commercetools.svg	api	alpha	Next-generation digital commerce | commercetools	https://commercetools.com/
source-confluence	2021-11-05	Confluence	cf40a7f8-71f8-45ce-a7fa-fca053e4028c	airbyte/source-confluence	0.1.1	https://docs.airbyte.com/integrations/sources/confluence	confluence.svg	api	alpha	Viewing Site Statistics | Confluence Data Center and Server 7.20	https://confluence.atlassian.com/display/DOC/Viewing+Site+Statistics
source-convertkit	2022-10-29	ConvertKit	be9ee02f-6efe-4970-979b-95f797a37188	airbyte/source-convertkit	0.1.0	https://docs.airbyte.com/integrations/sources/convertkit	undefined	api	alpha	Privacy Policy - ConvertKit	https://convertkit.com/privacy
source-courier	2022-10-19	Courier	0541b2cd-2367-4986-b5f1-b79ff55439e4	airbyte/source-courier	0.1.0	https://docs.airbyte.com/integrations/sources/courier	undefined	api	alpha	Courier: API for Email, SMS, Web & Mobile Push Notifications	https://www.courier.com/
source-db2	2021-06-24	IBM Db2	447e0381-3780-4b46-bb62-00a4e3c8b8e2	airbyte/source-db2	0.1.16	https://docs.airbyte.com/integrations/sources/db2	db2.svg	database	alpha	IBM Db2	https://www.ibm.com/products/db2
source-db2-strict-encrypt	2021-11-11	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	IBM Db2	https://www.ibm.com/products/db2
source-delighted	2021-11-02	Delighted	cc88c43f-6f53-4e8a-8c4d-b284baaf9635	airbyte/source-delighted	0.1.4	https://docs.airbyte.com/integrations/sources/delighted	delighted.svg	api	alpha	Collect customer feedback in minutes with Delighted	https://delighted.com/
source-dixa	2021-07-10	Dixa	0b5c867e-1b12-4d02-ab74-97b2184ff6d7	airbyte/source-dixa	0.1.3	https://docs.airbyte.com/integrations/sources/dixa	dixa.svg	api	alpha	Data Security - Dixa	https://www.dixa.com/legal/data-security/
source-dockerhub	2022-06-20	Dockerhub	72d405a3-56d8-499f-a571-667c03406e43	airbyte/source-dockerhub	0.1.0	https://docs.airbyte.com/integrations/sources/dockerhub	dockerhub.svg	api	alpha	Docker Hub Container Image Library | App Containerization	https://hub.docker.com/
source-drift	2020-12-18	Drift	445831eb-78db-4b1f-8f1f-0d96ad8739e2	airbyte/source-drift	0.2.5	https://docs.airbyte.com/integrations/sources/drift	drift.svg	api	alpha	Drift's Conversation Cloud helps businesses connect with customers in the moments that matter most — using chat, email, video, and more.	https://www.drift.com/
source-dv-360	2022-09-28	DV 360	1356e1d9-977f-4057-ad4b-65f25329cf61	airbyte/source-dv-360	0.1.0	https://docs.airbyte.com/integrations/sources/dv-360	undefined	api	alpha	Display & Video 360 - Google Marketing Platform	https://marketingplatform.google.com/about/display-video-360/
source-e2e-test	2021-05-25	E2E Testing	d53f9084-fa6b-4a5a-976c-5b8392f4ad8a	airbyte/source-e2e-test	2.1.3	https://docs.airbyte.com/integrations/sources/e2e-test	airbyte.svg	api	alpha	This is a mock source for testing the Airbyte pipeline. It can generate arbitrary data streams.	https://docs.airbyte.com/integrations/sources/e2e-test
source-e2e-test-cloud	2022-01-24	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Cypress E2E Testing on Cloud - LambdaTest	https://www.lambdatest.com/cypress-e2e-testing
source-elasticsearch	2022-07-13	Elasticsearch	7cf88806-25f5-4e1a-b422-b2fa9e1b0090	airbyte/source-elasticsearch	0.1.0	https://docs.airbyte.com/integrations/sources/elasticsearch	undefined	api	alpha	Elasticsearch: The Official Distributed Search & Analytics Engine	https://www.elastic.co/elasticsearch
source-exchange-rates	2021-04-22	Exchange Rates Api	e2b40e36-aa0e-4bed-b41b-bcea6fa348b1	airbyte/source-exchange-rates	1.2.6	https://docs.airbyte.com/integrations/sources/exchangeratesapi	exchangeratesapi.svg	api	alpha	Exchange Rates API	https://exchangeratesapi.io/
source-facebook-marketing	2021-01-15	Facebook Marketing	e7778cfc-e97c-4458-9ecb-b4f2bba8946c	airbyte/source-facebook-marketing	0.2.70	https://docs.airbyte.com/integrations/sources/facebook-marketing	facebook.svg	api	generally_available	Meta Ads Manager is a tool that lets you create and manage your ads. You can view, make changes and see results for all of your Meta campaigns, ad sets and ads.	https://www.facebook.com/business/help/966883707418907
source-facebook-pages	2021-09-02	Facebook Pages	010eb12f-837b-4685-892d-0a39f76a98f5	airbyte/source-facebook-pages	0.1.6	https://docs.airbyte.com/integrations/sources/facebook-pages	facebook.svg	api	alpha	Page Plugin - Social Plugins - Meta for Developers	https://developers.facebook.com/docs/plugins/page-plugin/
source-faker	2022-04-14	Faker	dfd88b22-b603-4c3d-aad7-3701784586b1	airbyte/source-faker	0.2.0	https://docs.airbyte.com/integrations/sources/faker	undefined	api	alpha	Faker | Faker	https://fakerjs.dev/
source-fauna	2022-09-29	Fauna	3825db3e-c94b-42ac-bd53-b5a9507ace2b	airbyte/source-fauna	dev	https://docs.airbyte.com/integrations/sources/fauna	fauna.svg	database	alpha	Fauna | The distributed serverless database	https://fauna.com/
source-file	2020-11-03	File	778daa7c-feaf-4db6-96f3-70fd645acc77	airbyte/source-file	0.2.28	https://docs.airbyte.com/integrations/sources/file	file.svg	file	generally_available	15 Best File Sharing Websites in 2022 (FREE Hosting) - Guru99	https://www.guru99.com/file-sharing-sites.html
source-file-secure	2021-10-20	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	12 Secure File Sharing Services to Send Data Privately	https://geekflare.com/secure-file-sharing/
